,car,price,body,mileage,engV,engType,registration,year,model,drive
416,Toyota,39900.0,crossover,11,4.0,Petrol,yes,2013,Tacoma,full
417,Porsche,60000.0,other,11,3.8,Petrol,yes,2010,911,rear
418,Kia,13111.0,sedan,11,1.4,Petrol,yes,2015,Rio,front
419,Mercedes-Benz,59999.0,sedan,11,4.7,Petrol,yes,2012,CLS 500,full
420,Fiat,1000.0,hatch,11,1.5,Petrol,yes,1988,Uno,front
421,Volkswagen,12650.0,hatch,11,1.0,Petrol,yes,2014,Up,front
422,VAZ,2350.0,sedan,11,1.5,Petrol,yes,2006,21099,front
423,Nissan,13275.0,hatch,12,1.8,Other,yes,2013,Leaf,front
424,Mercedes-Benz,38600.0,other,12,1.8,Petrol,yes,2012,E-Class,rear
425,Nissan,20999.0,hatch,12,1.8,Other,yes,2015,Leaf,front
426,ZAZ,5950.0,hatch,12,1.5,Petrol,yes,2015,Lanos,front
427,Mercedes-Benz,28000.0,other,12,1.8,Petrol,yes,2013,C-Class,
428,VAZ,0.0,hatch,12,1.3,Gas,yes,1986,2108,front
429,Skoda,14800.0,sedan,12,1.6,Petrol,yes,2012,Octavia A5,front
430,VAZ,1800.0,other,12,1.5,Petrol,yes,1991,2108,front
431,Nissan,15990.0,hatch,12,1.8,Other,yes,2014,Leaf,front
432,Infiniti,34000.0,sedan,12,2.5,Petrol,yes,2014,Q70,rear
433,Toyota,22500.0,sedan,12,2.5,Petrol,yes,2014,Camry,front
434,Ford,40000.0,crossover,12,3.5,Other,yes,2014,Explorer,full
435,Geely,6200.0,sedan,12,1.5,Petrol,yes,2013,CK-2,front
436,Daewoo,2500.0,hatch,12,1.6,Gas,yes,1998,Nubira,front
437,Ferrari,205000.0,other,12,4.5,Petrol,yes,2012,458 Italia,rear
438,Renault,9200.0,hatch,12,1.2,Petrol,yes,2013,Sandero,front
439,Mercedes-Benz,0.0,van,12,2.2,Diesel,yes,2015,V 250,full
440,Audi,39900.0,other,12,1.8,Petrol,yes,2014,A5,front
441,Hyundai,9700.0,sedan,12,1.4,Petrol,yes,2011,Accent,
442,Aston Martin,125000.0,sedan,12,6.0,Petrol,yes,2011,Rapide,rear
443,Audi,98000.0,other,12,5.2,Petrol,yes,2012,R8,full
444,VAZ,1240.0,vagon,12,1.5,Petrol,yes,1998,2104,rear
445,Porsche,0.0,crossover,13,3.0,Diesel,yes,2015,Macan,full
446,VAZ,0.0,sedan,13,1.6,Petrol,yes,2012,2115,front
447,Kia,13000.0,sedan,13,1.4,Petrol,yes,2015,Rio,front
448,Peugeot,19000.0,crossover,13,1.6,Petrol,yes,2015,2008,front
449,VAZ,1450.0,sedan,13,1.8,Petrol,yes,1996,2107,rear
450,Skoda,17900.0,sedan,13,1.8,Petrol,yes,2012,Octavia A5,front
451,Nissan,16600.0,hatch,13,1.8,Other,yes,2014,Leaf,front
452,Lexus,70000.0,crossover,13,2.0,Petrol,yes,2016,RX 200,full
453,Nissan,16800.0,hatch,13,1.8,Other,yes,2014,Leaf,front
454,Porsche,0.0,sedan,14,3.6,Petrol,yes,2014,Panamera,full
455,Kia,23999.0,crossover,14,2.2,Diesel,yes,2012,Sorento,full
456,Mercedes-Benz,126000.0,sedan,14,3.0,Diesel,yes,2015,S 350,full
457,Nissan,27000.0,van,14,1.6,Diesel,yes,2015,Qashqai,full
458,BYD,13999.0,crossover,14,2.4,Gas,yes,2013,S6,front
459,Honda,13700.0,sedan,14,1.8,Petrol,yes,2012,Civic,front
460,Porsche,112000.0,sedan,14,4.8,Other,yes,2013,Panamera,full
461,Mercedes-Benz,75500.0,van,14,2.2,Diesel,yes,2015,V 250,rear
462,Hyundai,11500.0,sedan,14,1.4,Petrol,yes,2013,Accent,front
463,Peugeot,8500.0,hatch,14,1.0,Petrol,yes,2013,107,front
464,VAZ,4100.0,sedan,14,1.6,Gas,yes,2007,2110,front
465,Nissan,12000.0,hatch,14,1.2,Petrol,yes,2014,Micra,front
466,Audi,33900.0,other,14,1.8,Petrol,yes,2014,TT,front
467,Dodge,47000.0,other,14,6.4,Petrol,yes,2009,Challenger,
468,Land Rover,75000.0,crossover,14,2.2,Diesel,yes,2015,Defender,full
469,Land Rover,147000.0,crossover,15,5.0,Petrol,yes,2015,Range Rover Sport,full
470,Volkswagen,17200.0,other,15,1.2,Petrol,yes,2014,Golf VII,front
471,Hyundai,19900.0,sedan,15,1.6,Petrol,yes,2016,Elantra,front
472,Toyota,30900.0,sedan,15,2.5,Petrol,yes,2015,Camry,
473,Ford,8900.0,sedan,15,2.0,Petrol,yes,1988,Sierra,rear
474,Tesla,99000.0,sedan,15,0.7,Other,yes,2015,Model S,full
475,Chevrolet,35000.0,other,15,3.6,Petrol,yes,2012,Camaro,
476,Land Rover,153000.0,crossover,15,4.4,Diesel,yes,2016,Range Rover,full
477,Daewoo,5400.0,other,15,1.5,Gas,yes,2014,Lanos,front
478,Suzuki,12200.0,hatch,15,1.3,Gas,yes,2014,Splash,
479,Chevrolet,24000.0,sedan,15,3.0,Other,yes,2013,Malibu,
480,VAZ,2450.0,sedan,15,1.5,Petrol,yes,2005,2107,rear
481,BMW,0.0,crossover,15,4.39,Petrol,yes,2015,X5 M,full
482,Toyota,0.0,sedan,15,2.5,Petrol,yes,2015,Camry,front
483,ZAZ,899.0,other,15,1.2,Petrol,yes,1991,968,rear
484,BMW,31000.0,vagon,15,1.8,Other,yes,2015,I3,front
485,BMW,64999.0,sedan,15,3.0,Petrol,yes,2012,640,rear
486,Ford,11200.0,sedan,15,1.0,Petrol,yes,2015,Focus,front
487,Mercedes-Benz,28500.0,hatch,15,1.8,Diesel,yes,2014,A 180,front
488,VAZ,2300.0,hatch,15,1.5,Petrol,yes,1994,2108,front
489,Toyota,28900.0,sedan,15,2.5,Petrol,yes,2015,Camry,front
490,Toyota,24000.0,sedan,16,2.5,Petrol,yes,2013,Camry,front
491,BMW,75000.0,crossover,16,3.0,Diesel,yes,2015,X6,full
492,Toyota,28500.0,sedan,16,2.5,Petrol,yes,2015,Camry,front
493,Mazda,26300.0,sedan,16,2.5,Petrol,yes,2013,6,front
494,Daewoo,5555.0,other,16,1.5,Petrol,yes,2010,Nexia,front
495,Ford,8800.0,hatch,16,1.25,Petrol,yes,2014,Fiesta,
496,ZAZ,1900.0,sedan,16,1.3,Petrol,yes,2008,1103 �������,front
497,Nissan,1499.0,sedan,16,2.0,Gas,yes,1991,Primera,
498,Volkswagen,6700.0,van,16,2.0,Diesel,yes,2005,Caddy ����.,front
499,BMW,70000.0,sedan,16,3.0,Diesel,yes,2014,730,full
500,BMW,0.0,crossover,16,1.8,Other,yes,2016,X5 M,
501,Mercedes-Benz,61500.0,crossover,16,3.0,Diesel,yes,2013,ML 350,full
502,Mazda,27500.0,sedan,16,2.5,Petrol,yes,2014,6,front
503,BMW,72900.0,crossover,16,3.0,Diesel,yes,2015,X6,full
504,Chevrolet,6600.0,hatch,16,1.5,Gas,yes,2014,Aveo,front
505,Renault,8250.0,sedan,16,1.2,Petrol,yes,2014,Logan,front
506,VAZ,4700.0,sedan,16,1.6,Petrol,yes,2008,2115,front
